video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
AaTvErday_s,battle rope training,121,131,121.900000,131.000000,12
AnEm66_ZHvQ,battle rope training,20,30,21.001001,29.809810,8
AsJgDPLu_ro,battle rope training,13,23,13.000000,14.468135,3
AsJgDPLu_ro,battle rope training,13,23,18.638972,22.876543,11
BuhAROfTtx8,battle rope training,1,11,4.327619,10.982858,9
C-X1eJftb-g,battle rope training,19,29,19.000000,28.976643,19
DMc9Jkvwc_s,battle rope training,17,27,17.000000,19.400000,4
DMc9Jkvwc_s,battle rope training,17,27,19.733333,26.233333,9
DkonD7QOe64,battle rope training,12,22,12.000000,13.301301,7
DkonD7QOe64,battle rope training,12,22,13.601602,21.225893,35
D5Ge91h0XZw,battle rope training,38,48,38.000000,44.633333,7
EKEJHzTW53s,battle rope training,15,25,22.400000,24.866667,3
EKEJHzTW53s,battle rope training,15,25,15.000000,17.666666,4
E2iBgyvSZ9U,battle rope training,192,202,192.000000,196.250000,5
FGsndIt1TW4,battle rope training,0,10,1.334668,9.976643,30
FQaVcc3dH40,battle rope training,70,80,70.000000,73.503504,18
F-8dgkZaeIk,battle rope training,0,10,5.083334,10.000000,20
GWOuD3bwuEs,battle rope training,31,41,33.308542,40.970223,34
GgB8iZiCT1o,battle rope training,32,42,32.000000,34.833333,7
GgB8iZiCT1o,battle rope training,32,42,37.100000,42.000000,14